Age,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
,0.010605,0.010964,0.00049786,0.022847,-0.0096665,-0.032493,0.013679,0.013084,0.01957,0.012636
,-0.010765,-0.017308,0.018229,-0.0054249,0.0063252,-0.017074,-0.0013344,-0.013425,-0.015808,-0.013217
,0.012333,0.0022006,0.0095458,0.012513,-0.016949,0.026469,-0.023762,0.0010573,0.00057149,0.012368
,-0.0014578,0.0016418,0.0028706,-0.003503,0.0059326,-0.0017933,-0.0086298,-0.010231,0.001071,-0.02201
,-0.0055239,0.016546,0.024754,0.02725,0.006502,-0.0057332,-0.020955,-0.0014189,-0.0080266,-0.010988
,0.0097255,0.0032924,-0.0046085,-0.021737,0.0029193,0.00029624,0.0079368,-0.0054943,0.0075383,0.023159
,0.012545,0.0057912,0.026048,0.0011219,-0.00043169,0.015702,-0.0071529,-0.016296,0.0097032,0.0012468
,-0.0023938,0.0012678,0.01313,-0.015869,0.010106,-0.0041413,0.0011405,-0.0060886,-0.00024109,-0.0018843
,-0.009364,0.01083,0.013523,0.02603,0.020467,0.023001,0.0014968,0.031699,-0.014718,-0.019118
,-0.0015447,0.0025168,-0.012117,-0.0050805,0.0078875,-0.0056651,0.0028678,0.0087988,-0.011802,-0.0077414
,-0.012251,0.010596,0.0060582,-0.00018521,0.0021213,-0.015162,-0.016078,-0.0078602,0.0070363,-0.022887
,-0.0060184,0.0027935,0.002279,-0.0076725,0.0020522,0.006604,-0.01549,0.004637,0.0021917,-0.00046631
,0.0056792,-0.0016106,0.0059778,0.0085709,-0.0050797,-0.01753,0.015442,0.022526,-0.0088777,-0.013837
,-0.013143,-0.0073854,-0.0058349,-0.023634,5.01E-05,-0.02133,-0.016852,0.00060385,-0.012782,-0.0023431
,0.0096332,0.0022096,0.0061383,-0.0085755,0.00044776,0.023616,-0.0024824,-0.0055028,-0.00113,0.012883
,-0.0031632,-0.0020435,-0.029891,0.010901,0.025317,0.0072423,0.0061196,-0.0036959,0.016404,-0.015001
,-0.0071196,-0.006218,-0.018981,0.0093219,0.027535,-0.0070987,0.0089367,0.005552,0.029571,-0.024671
,0.0025726,0.032548,-0.018065,0.0025808,-0.0094536,-0.014694,0.0028619,0.0046249,-0.021902,0.013699
,0.0094638,0.0038304,-0.018751,0.0048107,0.0011323,-0.0066983,0.0019014,0.0029979,-0.00031153,-0.0078586
,-0.00098916,-0.011656,-0.024132,0.018003,0.0050028,0.024632,-0.027872,0.0064627,-0.0087626,-0.00065761
,-0.0010846,0.0023321,0.0033153,-0.0059519,-7.57E-06,-0.029204,0.002253,0.0034769,-3.99E-05,-0.0042777
,0.019863,-0.0048207,0.022223,0.019227,-0.0048113,0.012543,-0.016314,-0.011707,-0.015204,0.018939
,-0.0096713,-0.008961,-0.0036001,-0.0057092,0.021439,0.010093,-0.015018,-0.026536,0.013198,-0.0074862
,0.029129,0.001181,-0.019121,0.0043235,-0.024234,0.0030115,-0.0097904,0.0030104,-0.0056766,-0.017606
,0.0063621,0.021515,0.015686,0.0067379,0.00069997,-0.0013499,0.00031103,0.0073679,-0.019039,-0.0049302
,-0.053513,0.012036,0.0157,-0.009563,0.035129,0.015151,-0.014389,-0.012502,0.019791,-0.027212
,-0.019612,-0.011198,0.0097068,0.024235,-0.0060755,-0.041797,-0.0026505,-0.018633,-0.031511,-0.019663
,-0.0014458,-0.0037684,0.0040524,0.0012446,0.011808,-0.016263,0.030991,0.0045879,0.028206,-0.010607
